imu_ax,imu_ay,kf_ax,kf_ay,kf_vx,kf_w,kf_x,kf_y,stamp,
-0.056499773935428196,0.01806102761416786,-0.054804372764271414,1.2095349525353293e-08,-0.0010107170458664872,-1.1967097591575648e-05,-1.9994649242602942,-0.5000009949494535,12776000000,
-0.07564324819827667,-0.0034309462019318482,-0.07205095279449618,-8.87047050441425e-10,-0.0011569129183637856,7.667362308443836e-07,-1.9994499417130365,-0.5000009947254386,12863000000,
-0.027578276712862917,0.0013955521597428784,-0.035189276892056746,1.6913420147720076e-09,-0.0013209384877261206,-1.2804093684055676e-06,-1.9994335607053038,-0.5000009944244953,12953000000,
-0.03321799993167494,-0.00909906374471266,-0.03354416193368403,-7.945606146858245e-09,-0.000820849182940479,9.679739362589331e-06,-1.999483164229546,-0.5000009953032799,13038000000,
-0.05376936731079513,-0.010848270043230369,-0.05028799297004549,-6.864414461135837e-09,-0.0007628817683631218,8.998005648849724e-06,-1.9994885123328432,-0.5000009953989644,13134000000,
-0.05619842289867848,-0.0047723719231190275,-0.0551696075034995,-4.518988247197418e-09,-0.0010032332157586428,4.504424471014119e-06,-1.9994640672477484,-0.5000009949581854,13220000000,
-0.044505939505628256,0.010823201932230278,-0.04631954603228411,9.011771492071275e-09,-0.0010883736656869649,-8.280034491998832e-06,-1.9994552237626102,-0.5000009947983317,13306000000,
-0.0582590494327888,-0.0150631418034401,-0.05619579460459955,-1.2185807763859744e-08,-0.0010064486833891873,1.2107728853918694e-05,-1.9994631067945516,-0.5000009949689678,13391000000,
-0.03780480752916116,-0.008936002136219092,-0.04094425607561471,-1.0287611440283682e-08,-0.001086183072964003,9.471342075153681e-06,-1.9994547701335135,-0.5000009948011049,13471000000,
-0.03227422953892407,-0.010122256999033095,-0.03374907983288776,-9.21877312516657e-09,-0.0008635497112495704,1.0675439995025713e-05,-1.9994767231671926,-0.5000009952655677,13580000000,
-0.06101151686799475,0.011584794883232793,-0.05632237007990208,5.154828094828206e-09,-0.0007919434783563374,-6.509085857398493e-06,-1.9994836084337315,-0.5000009954235045,13665000000,
-0.038169484975940575,-0.019402335534110738,-0.04126858677995623,-1.2153585015024273e-08,-0.0010517347227525795,1.1555751419156485e-05,-1.9994572274215183,-0.5000009948625128,13755000000,
-0.03168696916314965,-0.015022152268631416,-0.03331793840946205,-1.3074814256470186e-08,-0.0008708831453791074,1.5013282006713471e-05,-1.9994754794566811,-0.500000995260344,13835000000,
-0.06177485027282802,0.009062198512007234,-0.05688104575097981,3.146070790093968e-09,-0.0007815219488101445,-4.0255693328687875e-06,-1.9994837177959108,-0.5000009954611847,13931000000,
-0.09575906989115367,0.010800928012411375,-0.08907101011658379,9.294229876190902e-09,-0.0012007527311520272,-7.740336236648677e-06,-1.9994416182447168,-0.5000009944723474,14021000000,
-0.05989065929344335,0.004438550188399397,-0.06487292272426853,9.611998004792706e-09,-0.001656888945627535,-5.80123250273254e-06,-1.9993957386425247,-0.5000009933799152,14112000000,
-0.04940113905362772,0.017952954922818048,-0.05203585337920423,3.4782121524781045e-08,-0.0013538657006581818,-2.5690968836769938e-05,-1.9994257718658948,-0.5000009940379335,14194000000,
-0.047468076322773924,0.007665850605937645,-0.04823547547661932,1.4493128254442421e-08,-0.0011095153970945631,-1.3062575149831096e-05,-1.9994498661372948,-0.5000009945531025,14292000000,
-0.06510052569828252,-0.01962449836466757,-0.06219142300484292,-1.6610181318187893e-08,-0.0010553784718860572,1.5738601611329053e-05,-1.9994548947243578,-0.5000009946188356,14378000000,
-0.05953454698020113,0.0003853831393154601,-0.059972209226590356,-2.8495291613917365e-09,-0.0012390289919712626,2.2998083013846274e-06,-1.9994363383612224,-0.5000009942374453,14473000000,
-0.043087116607400826,-0.015235579367620126,-0.04596659293594102,-1.9102472243058804e-08,-0.0011951609262684437,1.59831800247193e-05,-1.999440363787926,-0.5000009943480094,14553000000,
-0.05286642771623235,0.01700560619376795,-0.051667639081970446,1.4317256298239901e-08,-0.0010116381035544077,-1.4152547485050214e-05,-1.9994585603923913,-0.5000009947222797,14652000000,
-0.028992094048141348,0.013084254264015242,-0.032868157544492835,1.337354937393821e-08,-0.0009937436987365782,-1.3457745081494373e-05,-1.9994599442023724,-0.5000009947702624,14733000000,
-0.03418907337803867,-0.0014925777267335105,-0.033951460585168215,8.403196917054009e-10,-0.0007388840389568781,-1.1372822356424492e-06,-1.9994854653143397,-0.5000009952791997,14830000000,
-0.04391203236016644,-0.0030582431699715364,-0.042191769695017874,-1.2094465492043192e-09,-0.0007471928752170423,1.618653749680098e-06,-1.9994845394262404,-0.5000009952448403,14931000000,
-0.06003964061393932,-0.00728389204566874,-0.05696514957729702,-4.088750981127755e-09,-0.0008657713799723969,4.722668219014257e-06,-1.9994719767667637,-0.5000009950003697,15017000000,
-0.05924382474899917,-0.012620910484125458,-0.05883620329987355,-1.1102725172288255e-08,-0.0011322497510852158,9.805897649036125e-06,-1.999445597999444,-0.5000009944939291,15102000000,
-0.07158475754229002,-0.018155507638959435,-0.06937949799382498,-2.2915077146020634e-08,-0.001229533054514319,1.86372192775837e-05,-1.9994358124709797,-0.5000009943157159,15187000000,
-0.025617289389034636,-0.004340717785379365,-0.03310653993996826,-9.807780860041221e-09,-0.0012962447750112542,7.566303100397122e-06,-1.9994289423339966,-0.5000009941902701,15273000000,
-0.06472346084362327,0.024262444394777732,-0.05928626972665757,2.1364296593550573e-08,-0.0008609185381980564,-2.4815700493878393e-05,-1.9994715768319404,-0.50000099517418,15374000000,
-0.05806482105140788,0.004735832423542262,-0.05825738965295164,8.891993313218507e-09,-0.0011565987886212638,-7.688053455268015e-06,-1.9994416694685737,-0.5000009945053067,15479000000,
-0.05714001989977658,-0.000902934285707519,-0.057314245495428094,6.264403878471848e-10,-0.0011926907425848362,-5.252328751119036e-07,-1.999437956281947,-0.5000009943898294,15565000000,
-0.03580661628013823,-0.01987671253629321,-0.03948020388664126,-2.2007861942349584e-08,-0.0011284638917380208,1.9502495475024762e-05,-1.9994439874900862,-0.5000009945036261,15662000000,
-0.05652847269652842,-0.021222280199542004,-0.05359002801341378,-2.1098302816395453e-08,-0.0009124409890349508,2.3122923093043213e-05,-1.9994655056083013,-0.5000009949489904,15757000000,
-0.027121003888953284,0.006851993288140243,-0.0316476241640643,1.2931269171568119e-09,-0.001007269877769096,-1.2837938924777865e-06,-1.9994558642423923,-0.500000994755353,15850000000,
-0.08295169650783031,0.008763489506350112,-0.07413693048499134,6.383497766756101e-09,-0.0008402356995885541,-7.597270349119856e-06,-1.9994722385460806,-0.5000009951874349,15936000000,
-0.016439729030607912,0.03867084264302828,-0.026320464575550713,3.583514281707182e-08,-0.0012675274574505064,-2.8271689584658236e-05,-1.9994292634965996,-0.5000009941472257,16006000000,
-0.06031431757938315,0.028124809576033413,-0.054470819106162444,2.5816719147715762e-08,-0.0007499291908135823,-3.4425542389819164e-05,-1.9994805972442349,-0.5000009953010401,16114000000,
-0.07256156656365664,-0.0002480110145826577,-0.06944144216373524,6.430855183540371e-09,-0.001106171754148932,-5.813613626835149e-06,-1.999444827576649,-0.5000009945366827,16205000000,
-0.042630025357116595,-0.0025003652834451207,-0.04721092599332263,-1.6160249072300208e-09,-0.0013105321685986477,1.2331058679452611e-06,-1.9994241207029193,-0.5000009941150494,16300000000,
